#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.9346104730476442e-10
-1.5099568014391116 , 5.01450897413e-09
-1.5086374588334 , 5.03290137082e-09
-1.50598031581991 , 5.05129376751e-09
-1.50198627117585 , 5.0696861642e-09
-1.4966562226234 , 5.08807856089e-09
-1.4899910668444 , 5.10647095758e-09
-1.4819916995164 , 5.12486335427e-09
-1.4726590152402 , 5.14325575096e-09
-1.01 , 5.5e-09
-0.51 , 5.7e-09
-0.15999999999999992 , 5.81e-09
0.49 , 5.99e-09
0.99 , 6.1e-09
1.49 , 6.21e-09
1.99 , 6.31e-09
2.49 , 6.4e-09
