#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.928403686947632e-14
-1.539911967337539 , 2.7858412096e-13
-1.5386226643704901 , 9.64741635031e-13
-1.5373205927090001 , 1.6508991491e-12
-1.53600575675868 , 2.33705666317e-12
-1.53467816091783 , 3.02321417725e-12
-1.53333780958477 , 3.70937169132e-12
-1.53198470715419 , 4.39552920539e-12
-1.53061885801348 , 5.08168671946e-12
-1.04 , 1.33e-10
-0.54 , 2.09e-10
-0.18999999999999995 , 2.52e-10
0.45999999999999996 , 3.21e-10
0.96 , 3.68e-10
1.46 , 4.1e-10
1.96 , 4.5e-10
2.46 , 4.87e-10
