#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 9.878240632821057e-14
-0.02 , 1.23719024268e-12
-0.01891489406582 , 1.26173777023e-11
-0.017805806924590002 , 2.39975651619e-11
-0.01667273904197 , 3.53777526216e-11
-0.01551569111645 , 4.67579400812e-11
-0.01433466338087 , 5.81381275408e-11
-0.01312965653371 , 6.95183150004e-11
-0.01190067104064 , 8.08985024601e-11
0.48 , 1.81e-09
0.98 , 2.72e-09
1.33 , 3.22e-09
1.98 , 4.01e-09
2.48 , 4.53e-09
2.98 , 5.01e-09
3.48 , 5.44e-09
3.98 , 5.85e-09
