#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.9378234217805867e-10
-0.3199955648672767 , 3.58907055772e-09
-0.319274017696735 , 3.62332533049e-09
-0.31751503241714 , 3.65758010326e-09
-0.31471904803067 , 3.69183487603e-09
-0.31088650324848 , 3.7260896488e-09
-0.3060178364906 , 3.76034442157e-09
-0.3001134857116 , 3.79459919434e-09
-0.2931738884584 , 3.82885396711e-09
0.18 , 4.62e-09
0.6799999999999999 , 5.05e-09
1.03 , 5.28e-09
1.68 , 5.65e-09
2.18 , 5.89e-09
2.68 , 6.11e-09
3.18 , 6.32e-09
3.68 , 6.51e-09
