#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.1894156623567676e-09
-0.45001056949258783 , 8.16843876488e-09
-0.44897836244782 , 8.23289651492e-09
-0.44495924249641 , 8.29735426496e-09
-0.437954514334 , 8.36181201499e-09
-0.42796548155020003 , 8.42626976503e-09
-0.4149934468907 , 8.49072751507e-09
-0.39903971196620003 , 8.55518526511e-09
-0.38010557754310004 , 8.61964301515e-09
0.04999999999999999 , 9.34e-09
0.55 , 9.81e-09
0.9000000000000001 , 1.01e-08
1.55 , 1.05e-08
2.05 , 1.07e-08
2.55 , 1.1e-08
3.05 , 1.12e-08
3.55 , 1.14e-08
