#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 6.384168642900598e-14
-0.02000582990469411 , 5.07754654946e-13
-0.01828202294884 , 4.31061854461e-12
-0.016552150871140002 , 8.11348243428e-12
-0.014816213788 , 1.19163463239e-11
-0.013074211874050001 , 1.57192102136e-11
-0.01132614524569 , 1.95220741033e-11
-0.0095720139612 , 2.33249379929e-11
-0.007811818195 , 2.71278018826e-11
0.48 , 7.9e-10
0.98 , 1.32e-09
1.33 , 1.63e-09
1.98 , 2.13e-09
2.48 , 2.46e-09
2.98 , 2.77e-09
3.48 , 3.05e-09
3.98 , 3.31e-09
