#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.050070147662445e-11
-0.7595931384526 , 4.47189605393e-10
-0.7447431811411 , 8.85506912966e-10
-0.7254603714496 , 1.32382422054e-09
-0.7017459282465001 , 1.76214152811e-09
-0.673601069469 , 2.20045883568e-09
-0.641027013287 , 2.63877614326e-09
-0.604024975775 , 3.07709345083e-09
-0.27 , 5.784e-09
0.22999999999999998 , 8.4e-09
0.5800000000000001 , 9.864e-09
1.23 , 1.212e-08
1.73 , 1.3608e-08
2.23 , 1.4952e-08
2.73 , 1.62e-08
3.23 , 1.7352e-08
