#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.3442980272583094e-12
-0.04 , 6.49431374859e-11
-0.039172960640863 , 8.31768354664e-11
-0.03818378395867 , 1.01410533447e-10
-0.03703248386504 , 1.19644231427e-10
-0.03571907403879 , 1.37877929408e-10
-0.034243568507950004 , 1.56111627388e-10
-0.03260598089313 , 1.74345325369e-10
-0.03080632516416 , 1.92579023349e-10
0.46 , 1.37e-09
0.96 , 1.94e-09
1.31 , 2.25e-09
1.96 , 2.74e-09
2.46 , 3.07e-09
2.96 , 3.36e-09
3.46 , 3.63e-09
3.96 , 3.89e-09
