#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.0855833523633165e-13
-1.0599379695873359 , 2.7312426263e-12
-1.05874362158153 , 3.87961211924e-12
-1.05754112019582 , 5.02798161218e-12
-1.05633046624513 , 6.17635110512e-12
-1.05511166054435 , 7.32472059806e-12
-1.0538847038938501 , 8.473090091e-12
-1.0526495971085401 , 9.62145958394e-12
-1.05140634098876 , 1.07698290769e-11
-0.56 , 2.64e-10
-0.06000000000000005 , 4.17e-10
0.29000000000000004 , 5.04e-10
0.94 , 6.41e-10
1.44 , 7.33e-10
1.94 , 8.17e-10
2.44 , 8.94e-10
2.94 , 9.67e-10
