#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.5297738952258106e-13
-0.13 , 5.86288384691e-12
-0.12887337896507 , 9.71987815769e-12
-0.12774364742916 , 1.35768724685e-11
-0.12661080585793 , 1.74338667792e-11
-0.12547485401854 , 2.129086109e-11
-0.12433579214383 , 2.51478554008e-11
-0.12319362000097 , 2.90048497116e-11
-0.12204833782278 , 3.28618440224e-11
0.37 , 1.18e-09
0.87 , 1.95e-09
1.2200000000000002 , 2.39e-09
1.87 , 3.1e-09
2.37 , 3.58e-09
2.87 , 4.01e-09
3.37 , 4.41e-09
3.87 , 4.78e-09
