#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.6702017467028897e-10
-0.5000668751890771 , 1.30569063689e-09
-0.49872542102821 , 1.31874754326e-09
-0.49543521093437 , 1.33180444963e-09
-0.49019945522014 , 1.344861356e-09
-0.483021353939 , 1.35791826237e-09
-0.4739040970017 , 1.37097516874e-09
-0.462850864169 , 1.3840320751e-09
-0.4498648251247 , 1.39708898147e-09
0.0 , 1.6e-09
0.5 , 1.72e-09
0.8500000000000001 , 1.78e-09
1.5 , 1.89e-09
2.0 , 1.96e-09
2.5 , 2.02e-09
3.0 , 2.08e-09
3.5 , 2.13e-09
