#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 5.130936219690192e-13
-0.3000378924160032 , 3.15620554304e-12
-0.2987401458493 , 5.0402742749e-12
-0.29743692808260996 , 6.92434300676e-12
-0.29612823977076996 , 8.80841173862e-12
-0.29481408169959 , 1.06924804705e-11
-0.2934944545239 , 1.25765492023e-11
-0.29216935894219 , 1.44606179342e-11
-0.29083879568207 , 1.63446866661e-11
0.2 , 4.676e-10
0.7 , 7.644e-10
1.05 , 9.352e-10
1.7 , 1.2068e-09
2.2 , 1.3916e-09
2.7 , 1.5596e-09
3.2 , 1.7164e-09
3.7 , 1.862e-09
