#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.1674951802608533e-14
-0.11999356386979343 , 2.86294079111e-13
-0.11848593464412 , 1.49931776398e-12
-0.11695115608119999 , 2.71234144885e-12
-0.11538923550426 , 3.92536513371e-12
-0.1138001802293 , 5.13838881858e-12
-0.11218399755773 , 6.35141250345e-12
-0.11054069480189 , 7.56443618831e-12
-0.10887027926319999 , 8.77745987318e-12
0.38 , 1.72e-10
0.88 , 2.63e-10
1.23 , 3.15e-10
1.88 , 3.97e-10
2.38 , 4.52e-10
2.88 , 5.02e-10
3.38 , 5.48e-10
3.88 , 5.92e-10
