#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 6.3049950093569134e-12
-0.28004312439705253 , 7.99608933726e-10
-0.27629371779156003 , 8.60812897228e-10
-0.26996379069290005 , 9.22016860729e-10
-0.26105433041930004 , 9.83220824231e-10
-0.24956632361980002 , 1.04442478773e-09
-0.23550075636130002 , 1.10562875123e-09
-0.21885861398300002 , 1.16683271473e-09
-0.19964088121310003 , 1.22803667824e-09
0.21999999999999997 , 1.93e-09
0.72 , 2.41e-09
1.07 , 2.68e-09
1.72 , 3.09e-09
2.2199999999999998 , 3.37e-09
2.7199999999999998 , 3.61e-09
3.2199999999999998 , 3.84e-09
3.7199999999999998 , 4.06e-09
