#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 9.014658035232221e-15
-0.22 , 7.10015978422e-14
-0.2164206595032 , 3.68376721427e-11
-0.21073366759694 , 7.36043426876e-11
-0.2029407032812 , 1.10371013233e-10
-0.1930434427911 , 1.47137683777e-10
-0.1810435600625 , 1.83904354322e-10
-0.1669427261502 , 2.20671024867e-10
-0.15074260954750002 , 2.57437695412e-10
0.28 , 7.46e-10
0.78 , 1.07e-09
1.1300000000000001 , 1.25e-09
1.78 , 1.52e-09
2.28 , 1.71e-09
2.78 , 1.87e-09
3.28 , 2.03e-09
3.78 , 2.17e-09
