#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.111711111051005e-10
-0.20000030839873945 , 1.73069904501e-09
-0.19995746410422732 , 1.74800603546e-09
-0.19705085658934002 , 1.76531302591e-09
-0.19128500679217 , 1.78262001636e-09
-0.1826644229906 , 1.79992700681e-09
-0.1711936008098 , 1.81723399726e-09
-0.1568770233236 , 1.83454098771e-09
-0.1397191610697 , 1.85184797816e-09
0.3 , 2.06e-09
0.8 , 2.19e-09
1.1500000000000001 , 2.26e-09
1.8 , 2.38e-09
2.3 , 2.45e-09
2.8 , 2.52e-09
3.3 , 2.58e-09
3.8 , 2.64e-09
