#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.751144186074968e-12
-0.8099964179005474 , 1.71019243835e-11
-0.8088174932077501 , 2.77938103613e-11
-0.80763611704111 , 3.84856963392e-11
-0.80645229009911 , 4.91775823171e-11
-0.8052660114504401 , 5.98694682948e-11
-0.80407728202641 , 7.05613542727e-11
-0.8028861013613601 , 8.12532402504e-11
-0.8016924699209601 , 9.19451262283e-11
-0.31000000000000005 , 3.36e-09
0.18999999999999995 , 5.688e-09
0.54 , 7.032e-09
1.19 , 9.192e-09
1.69 , 1.0656e-08
2.19 , 1.1976e-08
2.69 , 1.3224e-08
3.19 , 1.4376e-08
