#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 5.2166674577002724e-11
-0.5 , 5.65729250445e-10
-0.499856829424971 , 5.68709084907e-10
-0.499465054526809 , 5.71688919369e-10
-0.49882501381944 , 5.7466875383e-10
-0.49793704490003 , 5.77648588292e-10
-0.4968014844344 , 5.80628422754e-10
-0.49541866820073 , 5.83608257216e-10
-0.49378893106041 , 5.86588091677e-10
0.0 , 7.52e-10
0.5 , 8.32e-10
0.8500000000000001 , 8.76e-10
1.5 , 9.47e-10
2.0 , 9.94e-10
2.5 , 1.04e-09
3.0 , 1.08e-09
3.5 , 1.12e-09
