#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.1421048689519077e-15
-0.4 , 3.58001935213e-14
-0.39889789167719003 , 4.53478759879e-13
-0.39779092388053 , 8.71157326237e-13
-0.39667909727577 , 1.2888358926e-12
-0.39556241251412 , 1.70651445895e-12
-0.39444087024676 , 2.12419302531e-12
-0.39331447113582 , 2.54187159167e-12
-0.39218321582885 , 2.95955015803e-12
0.09999999999999998 , 1.15e-10
0.6 , 1.86e-10
0.9500000000000001 , 2.27e-10
1.6 , 2.91e-10
2.1 , 3.35e-10
2.6 , 3.75e-10
3.1 , 4.13e-10
3.6 , 4.48e-10
