#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.2710786577198003e-10
-0.09 , 2.37987924785e-09
-0.089531580258918 , 2.38908284111e-09
-0.08831582729529999 , 2.39828643437e-09
-0.08635328498698 , 2.40749002763e-09
-0.08364449655695 , 2.41669362089e-09
-0.080190004537 , 2.42589721415e-09
-0.07599035081859999 , 2.43510080741e-09
-0.0710460766239 , 2.44430440067e-09
0.41000000000000003 , 2.71e-09
0.91 , 2.84e-09
1.26 , 2.92e-09
1.91 , 3.04e-09
2.41 , 3.12e-09
2.91 , 3.19e-09
3.41 , 3.25e-09
3.91 , 3.31e-09
