#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.7977336491450234e-13
-0.1500425621401519 , 1.90439635761e-12
-0.14811796774156 , 1.44074486266e-11
-0.14619014142081 , 2.69105008956e-11
-0.14425908341072 , 3.94135531646e-11
-0.14232479324563999 , 5.19166054336e-11
-0.14038727139123 , 6.44196577026e-11
-0.1384465173818 , 7.69227099716e-11
-0.1365025316831 , 8.94257622406e-11
0.35 , 2.72e-09
0.85 , 4.8e-09
1.2000000000000002 , 6.06e-09
1.85 , 8.14e-09
2.35 , 9.54e-09
2.85 , 1.084e-08
3.35 , 1.206e-08
3.85 , 1.32e-08
