#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.405747972747241e-12
-0.1 , 2.00956255569e-11
-0.099311562867661 , 2.46957580437e-11
-0.09830230975203001 , 2.92958905304e-11
-0.09697245937568001 , 3.38960230172e-11
-0.09532223020651001 , 3.84961555039e-11
-0.09335184042138 , 4.30962879907e-11
-0.09106150792068 , 4.76964204775e-11
-0.08845145034280001 , 5.22965529642e-11
0.4 , 2.63e-10
0.9 , 3.68e-10
1.25 , 4.26e-10
1.9 , 5.17e-10
2.4 , 5.78e-10
2.9 , 6.33e-10
3.4 , 6.84e-10
3.9 , 7.32e-10
