#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.1442416566957715e-12
-0.550164511337061 , 2.23486115583e-11
-0.54869438794849 , 2.87214283883e-11
-0.54716170759348 , 3.50942452183e-11
-0.5455664759181701 , 4.14670620482e-11
-0.54390869862691 , 4.78398788782e-11
-0.5421883813804 , 5.42126957082e-11
-0.54040552981023 , 6.05855125381e-11
-0.5385601496062 , 6.69583293681e-11
-0.050000000000000044 , 6.74e-10
0.44999999999999996 , 9.91e-10
0.8 , 1.17e-09
1.45 , 1.44e-09
1.95 , 1.63e-09
2.45 , 1.79e-09
2.95 , 1.95e-09
3.45 , 2.09e-09
