#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.550670205899478e-12
-0.600007079433999 , 9.63061813768e-11
-0.5884607830754 , 1.60767569351e-10
-0.5605104465591 , 2.25228957326e-10
-0.5162176312966 , 2.896903453e-10
-0.45564344887099995 , 3.54151733275e-10
-0.37884856611499995 , 4.18613121249e-10
-0.28589320972399995 , 4.83074509223e-10
-0.17683717132 , 5.47535897198e-10
-0.09999999999999998 , 5.87e-10
0.4 , 7.95e-10
0.7500000000000001 , 9.09e-10
1.4 , 1.09e-09
1.9 , 1.2e-09
2.4 , 1.31e-09
2.9 , 1.41e-09
3.4 , 1.5e-09
