#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.3953029846486788e-09
-1.91043426535558 , 1.77578915305e-08
-1.910273580779321 , 1.77884452745e-08
-1.909657246633433 , 1.78189990186e-08
-1.90858532793587 , 1.78495527626e-08
-1.90705788958818 , 1.78801065066e-08
-1.9050749963754798 , 1.79106602507e-08
-1.9026367131993198 , 1.79412139947e-08
-1.8997431049612 , 1.79717677387e-08
-1.41 , 1.92e-08
-0.9099999999999999 , 1.97e-08
-0.5599999999999998 , 2e-08
0.09000000000000008 , 2.05e-08
0.5900000000000001 , 2.09e-08
1.09 , 2.11e-08
1.59 , 2.14e-08
2.09 , 2.17e-08
