#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.478355434267174e-14
-0.01 , 2.27480983129e-12
-0.008241353896450001 , 6.33314455007e-12
-0.00647478207771 , 1.03914792689e-11
-0.00470028506767 , 1.44498139876e-11
-0.0029178634774900004 , 1.85081487064e-11
-0.0011275178164900004 , 2.25664834252e-11
0.0006707513331999995 , 2.6624818144e-11
0.0024769434187000006 , 3.06831528629e-11
0.49 , 7.868e-10
0.99 , 1.2992e-09
1.34 , 1.596e-09
1.99 , 2.0692e-09
2.49 , 2.3884e-09
2.99 , 2.6796e-09
3.49 , 2.94e-09
3.99 , 3.192e-09
