#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 8.96025179022753e-20
-0.16 , 1.21991984041e-18
-0.15889081623769 , 1.40414420905e-13
-0.15778046243227 , 2.80827621889e-13
-0.15666893879839 , 4.21240822874e-13
-0.15555624555796 , 5.61654023859e-13
-0.15444238291835 , 7.02067224844e-13
-0.15332735110147 , 8.42480425828e-13
-0.15221115032196 , 9.82893626813e-13
0.33999999999999997 , 5.23e-11
0.84 , 9.29e-11
1.1900000000000002 , 1.18e-10
1.84 , 1.59e-10
2.34 , 1.87e-10
2.84 , 2.14e-10
3.34 , 2.39e-10
3.84 , 2.63e-10
