#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.2321788411214934e-09
-2.06 , 1.61249985099e-08
-2.059166385270655 , 1.61869138868e-08
-2.0569102100003502 , 1.62488292637e-08
-2.05323193519376 , 1.63107446406e-08
-2.0481320213899 , 1.63726600175e-08
-2.0416109286621 , 1.64345753944e-08
-2.0336691173166 , 1.64964907713e-08
-2.0243070467282003 , 1.65584061482e-08
-1.56 , 1.77e-08
-1.06 , 1.84e-08
-0.71 , 1.87e-08
-0.06000000000000005 , 1.93e-08
0.43999999999999995 , 1.97e-08
0.94 , 2e-08
1.44 , 2.03e-08
1.94 , 2.06e-08
