#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 9.025809206905729e-10
-0.13 , 1.06783151618e-08
-0.12723466718569001 , 1.09213203459e-08
-0.12206993542612 , 1.11643255299e-08
-0.11450665315610001 , 1.1407330714e-08
-0.1045456683449 , 1.1650335898e-08
-0.09218782756480001 , 1.18933410821e-08
-0.07743397785350001 , 1.21363462661e-08
-0.06028496485200001 , 1.23793514502e-08
0.37 , 1.5408e-08
0.87 , 1.74e-08
1.2200000000000002 , 1.8504e-08
1.87 , 2.0208e-08
2.37 , 2.1336e-08
2.87 , 2.2344e-08
3.37 , 2.328e-08
3.87 , 2.424e-08
