#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.244934471268031e-13
-0.01 , 2.33204001287e-12
-0.00886867776513 , 8.64289183025e-12
-0.00773615179583 , 1.49537436476e-11
-0.00660242209211 , 2.1264595465e-11
-0.00546748865396 , 2.75754472824e-11
-0.004331351015720001 , 3.38862990998e-11
-0.00319401010871 , 4.0197150917e-11
-0.0020554650016099997 , 4.65080027345e-11
0.49 , 2.304e-09
0.99 , 4.056e-09
1.34 , 5.112e-09
1.99 , 6.84e-09
2.49 , 8.016e-09
2.99 , 9.096e-09
3.49 , 1.0104e-08
3.99 , 1.1064e-08
