#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 6.476608314904689e-11
-1.41 , 9.80890594728e-10
-1.409492756920517 , 9.87115847444e-10
-1.40836670640798 , 9.9334110016e-10
-1.4066227433760699 , 9.99566352875e-10
-1.40426176001725 , 1.00579160559e-09
-1.40128464589739 , 1.01201685831e-09
-1.3976922879048 , 1.01824211102e-09
-1.3934855702866 , 1.02446736374e-09
-0.9099999999999999 , 1.23e-09
-0.4099999999999999 , 1.33e-09
-0.05999999999999983 , 1.39e-09
0.5900000000000001 , 1.48e-09
1.09 , 1.54e-09
1.59 , 1.59e-09
2.09 , 1.64e-09
2.59 , 1.69e-09
