#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 5.6736948837275523e-11
-1.669999712978024 , 7.63096254844e-09
-1.66798178637866 , 7.69491339645e-09
-1.66238927452825 , 7.75886424447e-09
-1.6532248833845 , 7.82281509249e-09
-1.6404913146561 , 7.8867659405e-09
-1.624191265977 , 7.95071678852e-09
-1.6043274306157 , 8.01466763653e-09
-1.5809024978243 , 8.07861848455e-09
-1.17 , 8.68e-09
-0.6699999999999999 , 9.11e-09
-0.31999999999999984 , 9.35e-09
0.33000000000000007 , 9.72e-09
0.8300000000000001 , 9.97e-09
1.33 , 1.02e-08
1.83 , 1.04e-08
2.33 , 1.06e-08
