#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 3.97462505863e-14
0.00506079278421 , 1.00313596562e-11
0.0101422354346 , 2.00229730619e-11
0.015244327602 , 3.00145864676e-11
0.0203670688206 , 4.00061998732e-11
0.0255104586249 , 4.99978132789e-11
0.0306744965492 , 5.99894266845e-11
0.0358591822442 , 6.99810400902e-11
0.5000, 8.34e-10 
1.0000, 1.49e-09 
1.3500, 1.88e-09 
2.0000, 2.53e-09 
2.5000, 2.97e-09 
3.0000, 3.38e-09 
3.5000, 3.76e-09 
4.0000, 4.12e-09 
