#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.8680554467136066e-11
-0.07 , 2.7792519488e-10
-0.06976949828487701 , 2.89595062006e-10
-0.06682482856588001 , 3.01264929132e-10
-0.06117149252197 , 3.12934796258e-10
-0.05281497320200001 , 3.24604663384e-10
-0.0417607351013 , 3.3627453051e-10
-0.028014224237600006 , 3.47944397636e-10
-0.011580868278800005 , 3.59614264762e-10
0.43 , 5.04e-10
0.9299999999999999 , 5.95e-10
1.28 , 6.46e-10
1.93 , 7.26e-10
2.43 , 7.79e-10
2.93 , 8.27e-10
3.43 , 8.71e-10
3.93 , 9.13e-10
