#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.495525651750333e-15
-0.01 , 2.48933892286e-14
-0.0057535566645700005 , 7.56080699886e-12
-0.0014249926077900005 , 1.50967206085e-11
0.0029856811545 , 2.26326342181e-11
0.007478453679399999 , 3.01685478278e-11
0.0120533139654 , 3.77044614374e-11
0.016710250997 , 4.5240375047e-11
0.021449253845499998 , 5.27762886567e-11
0.49 , 5.19e-10
0.99 , 8.29e-10
1.34 , 1.01e-09
1.99 , 1.28e-09
2.49 , 1.47e-09
2.99 , 1.64e-09
3.49 , 1.79e-09
3.99 , 1.94e-09
