#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.6270071781437006e-14
-0.03000222300877795 , 5.26986584768e-13
-0.02882493172481 , 1.7239670761e-12
-0.02764665980183 , 2.92094756744e-12
-0.02646740725439 , 4.11792805878e-12
-0.025287174111579998 , 5.31490855011e-12
-0.02410596046073 , 6.51188904145e-12
-0.022923766272719998 , 7.70886953278e-12
-0.02174059163488 , 8.90585002412e-12
0.47 , 4.368e-10
0.97 , 7.84e-10
1.32 , 9.996e-10
1.97 , 1.3524e-09
2.47 , 1.5932e-09
2.97 , 1.82e-09
3.47 , 2.0328e-09
3.97 , 2.2316e-09
