#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.015073017558295e-15
-0.01 , 2.66875826529e-14
-0.006277939178980001 , 7.80311418265e-12
-0.0024671163753400005 , 1.55795407826e-11
0.0014324592432000006 , 2.33559673826e-11
0.005420778421699999 , 3.11323939826e-11
0.009497831992299999 , 3.89088205826e-11
0.0136636107293 , 4.66852471826e-11
0.0179181054357 , 5.44616737826e-11
0.49 , 5.5e-10
0.99 , 8.64e-10
1.34 , 1.04e-09
1.99 , 1.32e-09
2.49 , 1.5e-09
2.99 , 1.67e-09
3.49 , 1.83e-09
3.99 , 1.97e-09
