#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.150235963835987e-10
-0.15 , 2.0890489956e-09
-0.149255764356349 , 2.12854995923e-09
-0.1475938583375 , 2.16805092285e-09
-0.14501458532177 , 2.20755188648e-09
-0.14151824874571 , 2.24705285011e-09
-0.13710515181299998 , 2.28655381373e-09
-0.1317755973781 , 2.32605477736e-09
-0.1255298883538 , 2.36555574099e-09
0.35 , 3.35e-09
0.85 , 3.87e-09
1.2000000000000002 , 4.16e-09
1.85 , 4.61e-09
2.35 , 4.91e-09
2.85 , 5.18e-09
3.35 , 5.43e-09
3.85 , 5.66e-09
