#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.497696545917373e-16
-0.02 , 3.15943215118e-15
-0.0092124447506 , 3.82646462895e-11
0.0020070460636999986 , 7.6526133147e-11
0.0136583489552 , 1.14787620004e-10
0.0257413404947 , 1.53049106862e-10
0.0382558973256 , 1.9131059372e-10
0.05120189617849999 , 2.29572080577e-10
0.0645792138134 , 2.67833567434e-10
0.48 , 1.1116e-09
0.98 , 1.792e-09
1.33 , 2.1784e-09
1.98 , 2.7888e-09
2.48 , 3.192e-09
2.98 , 3.584e-09
3.48 , 3.92e-09
3.98 , 4.228e-09
