#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.0792389607344825e-14
-0.0100275135098491 , 3.00779839945e-13
-0.00861201013846 , 2.92920218279e-12
-0.00718992733688 , 5.55762452563e-12
-0.00576126526517 , 8.18604686847e-12
-0.00432602406887 , 1.08144692113e-11
-0.00288420384983 , 1.34428915542e-11
-0.00143580485543 , 1.6071313897e-11
1.9172797899999136e-05 , 1.86997362398e-11
0.49 , 5.92e-10
0.99 , 9.64e-10
1.34 , 1.18e-09
1.99 , 1.51e-09
2.49 , 1.74e-09
2.99 , 1.94e-09
3.49 , 2.13e-09
3.99 , 2.31e-09
