#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.967491904593962e-12
-0.01 , 2.88985606214e-11
-0.0076692895725100005 , 3.75242504813e-11
-0.00504488089588 , 4.61499403412e-11
-0.00212686640385 , 5.47756302012e-11
0.0010846615352999994 , 6.34013200611e-11
0.004589610611399999 , 7.2027009921e-11
0.0083878885437 , 8.06526997809e-11
0.012479403109200001 , 8.92783896409e-11
0.49 , 4.6e-10
0.99 , 6.61e-10
1.34 , 7.72e-10
1.99 , 9.46e-10
2.49 , 1.06e-09
2.99 , 1.17e-09
3.49 , 1.26e-09
3.99 , 1.35e-09
