#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.485263153290985e-14
-1.1818396218927198 , 1.64011486548e-12
-1.1736463991305 , 3.26985384509e-12
-1.1654203378105998 , 4.89959282471e-12
-1.1571614440303999 , 6.52933180432e-12
-1.1488697238796 , 8.15907078394e-12
-1.1405451834411 , 9.78880976355e-12
-1.1321878288193998 , 1.14185487432e-11
-0.69 , 8.94e-11
-0.18999999999999995 , 1.64e-10
0.16000000000000014 , 2.11e-10
0.81 , 2.89e-10
1.31 , 3.43e-10
1.81 , 3.94e-10
2.31 , 4.42e-10
2.81 , 4.87e-10
