#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 7.057801804379015e-17
-0.0100496366628795 , 5.69326131305e-16
-0.0012031822168500003 , 8.93841964602e-12
0.008391970144899999 , 1.78762699659e-11
0.0187347094054 , 2.68141202858e-11
0.0298239282149 , 3.57519706057e-11
0.0416585228688 , 4.46898209256e-11
0.054237393271500005 , 5.36276712455e-11
0.0675594429797 , 6.25655215654e-11
0.49 , 2.38e-10
0.99 , 3.66e-10
1.34 , 4.39e-10
1.99 , 5.53e-10
2.49 , 6.3e-10
2.99 , 7e-10
3.49 , 7.64e-10
3.99 , 8.25e-10
