#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.2919488288696286e-11
-0.01 , 1.05088024053e-09
-0.009510135618038 , 1.09386125617e-09
-0.00832362309098 , 1.13684227181e-09
-0.00644062749576 , 1.17982328745e-09
-0.00386131414212 , 1.22280430309e-09
-0.0005858478741700007 , 1.26578531873e-09
0.0033856062311999995 , 1.30876633437e-09
0.008052883446199999 , 1.35174735001e-09
0.49 , 2.63e-09
0.99 , 3.28e-09
1.34 , 3.64e-09
1.99 , 4.2e-09
2.49 , 4.57e-09
2.99 , 4.91e-09
3.49 , 5.21e-09
3.99 , 5.5e-09
