#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.9932264842009706e-14
-1.179966762963595 , 7.16184749197e-13
-1.17864893914855 , 1.16257164698e-12
-1.17732575700909 , 1.60895854476e-12
-1.17599721775667 , 2.05534544255e-12
-1.1746633226063599 , 2.50173234033e-12
-1.17332407276233 , 2.94811923811e-12
-1.17197946943968 , 3.3945061359e-12
-1.17062951384258 , 3.84089303368e-12
-0.6799999999999999 , 1.11e-10
-0.17999999999999994 , 1.82e-10
0.17000000000000015 , 2.24e-10
0.8200000000000001 , 2.9e-10
1.32 , 3.35e-10
1.82 , 3.77e-10
2.3200000000000003 , 4.16e-10
2.8200000000000003 , 4.52e-10
