#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.7946097465729426e-14
-0.0099874786772125 , 3.0341043283e-13
-0.008639426892620001 , 9.70800011022e-13
-0.00727174590589 , 1.63818958921e-12
-0.00588444914116 , 2.30557916741e-12
-0.00447755000801 , 2.9729687456e-12
-0.00305106187967 , 3.64035832379e-12
-0.0016049981111399998 , 4.30774790198e-12
-0.0001393720501799995 , 4.97513748017e-12
0.49 , 1.11e-10
0.99 , 1.73e-10
1.34 , 2.08e-10
1.99 , 2.65e-10
2.49 , 3.04e-10
2.99 , 3.39e-10
3.49 , 3.72e-10
3.99 , 4.04e-10
