#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.9536040720536575e-10
-0.249949151853798 , 4.00832020608e-09
-0.24733629819821001 , 4.04265056352e-09
-0.24045808343362 , 4.07698092095e-09
-0.2293192708894 , 4.11131127838e-09
-0.2139246149018 , 4.14564163581e-09
-0.1942788608867 , 4.17997199324e-09
-0.1703867452889 , 4.21430235068e-09
-0.142252995691 , 4.24863270811e-09
0.25 , 4.53e-09
0.75 , 4.74e-09
1.1 , 4.85e-09
1.75 , 5.04e-09
2.25 , 5.16e-09
2.75 , 5.27e-09
3.25 , 5.37e-09
3.75 , 5.46e-09
