#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 6.973534582914905e-11
-0.51 , 4.68305306764e-10
-0.50888559296232 , 4.7750237401e-10
-0.50640846419788 , 4.86699441256e-10
-0.50257165588642 , 4.95896508502e-10
-0.4973781956558 , 5.05093575748e-10
-0.4908310967346 , 5.14290642994e-10
-0.4829333580181 , 5.2348771024e-10
-0.4736879641985 , 5.32684777486e-10
-0.010000000000000009 , 7.12e-10
0.49 , 8.14e-10
0.8400000000000001 , 8.71e-10
1.49 , 9.62e-10
1.99 , 1.02e-09
2.49 , 1.08e-09
2.99 , 1.13e-09
3.49 , 1.18e-09
