#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 6.200298576669656e-12
-0.0100361055535905 , 9.34263435909e-10
-0.009793157323438 , 9.44971446433e-10
-0.0072650404161 , 9.55679456957e-10
-0.00245600997892 , 9.66387467481e-10
0.0046296921084 , 9.77095478005e-10
0.013987837164900001 , 9.87803488529e-10
0.0256142096571 , 9.98511499054e-10
0.0395046071301 , 1.00921950958e-09
0.49 , 1.16e-09
0.99 , 1.25e-09
1.34 , 1.3e-09
1.99 , 1.38e-09
2.49 , 1.43e-09
2.99 , 1.48e-09
3.49 , 1.53e-09
3.99 , 1.57e-09
