#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.5248615524092717e-12
-0.01000401382567361 , 1.90465960969e-11
-0.009404051457532 , 2.7374516188e-11
-0.008658374170190001 , 3.57024362792e-11
-0.00776702123927 , 4.40303563703e-11
-0.00673003189673 , 5.23582764615e-11
-0.0055474453890900005 , 6.06861965526e-11
-0.00421930091921 , 6.90141166437e-11
-0.0027456376462900002 , 7.73420367349e-11
0.49 , 6.59e-10
0.99 , 9.36e-10
1.34 , 1.09e-09
1.99 , 1.33e-09
2.49 , 1.49e-09
2.99 , 1.64e-09
3.49 , 1.77e-09
3.99 , 1.89e-09
