#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.006660923640626e-12
-0.48020906072313696 , 7.59235570838e-11
-0.48004349484152037 , 7.89604993671e-11
-0.479450506293215 , 8.19974416505e-11
-0.47843149175285 , 8.50343839338e-11
-0.47698783778149 , 8.80713262172e-11
-0.47512092091027 , 9.11082685005e-11
-0.47283210776775 , 9.41452107839e-11
-0.47012275518908 , 9.71821530672e-11
0.020000000000000018 , 2.24e-10
0.52 , 2.88e-10
0.8700000000000001 , 3.25e-10
1.52 , 3.83e-10
2.02 , 4.23e-10
2.52 , 4.58e-10
3.02 , 4.9e-10
3.52 , 5.2e-10
