#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.8507724912147362e-10
-0.01 , 2.91240608203e-09
-0.009756425037049 , 2.9569454962e-09
-0.00834905436728 , 3.00148491036e-09
-0.0057783193094700005 , 3.04602432453e-09
-0.0020446511241599997 , 3.09056373869e-09
0.0028515192191000006 , 3.13510315286e-09
0.008909761041900001 , 3.17964256702e-09
0.0161296444223 , 3.22418198119e-09
0.49 , 4.2e-09
0.99 , 4.72e-09
1.34 , 5.01e-09
1.99 , 5.46e-09
2.49 , 5.76e-09
2.99 , 6.03e-09
3.49 , 6.28e-09
3.99 , 6.51e-09
