#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.6546494814355697e-11
-1.16 , 4.56193651081e-10
-1.159818173324456 , 4.59049668924e-10
-1.159439478538989 , 4.61905686767e-10
-1.1588641675590798 , 4.6476170461e-10
-1.15809249162354 , 4.67617722453e-10
-1.1571247012217598 , 4.70473740296e-10
-1.15596104615921 , 4.73329758139e-10
-1.1546017755137299 , 4.76185775982e-10
-0.6599999999999999 , 6.56e-10
-0.15999999999999992 , 7.42e-10
0.19000000000000017 , 7.9e-10
0.8400000000000001 , 8.66e-10
1.34 , 9.18e-10
1.84 , 9.65e-10
2.34 , 1.01e-09
2.84 , 1.05e-09
