#delta(loglike), fluxes [ph/cm^2/s]
-3.58565011993e-05 , 9.14272724683e-15
0.00334959501924 , 3.47623908094e-12
0.00674327550223 , 6.94333543464e-12
0.0101451840601 , 1.04104317883e-11
0.0135553197906 , 1.3877528142e-11
0.0169736818207 , 1.73446244957e-11
0.0204002692626 , 2.08117208494e-11
0.0238350811996 , 2.42788172031e-11
0.5 , 4.396e-10
1.0 , 7.896e-10
1.35 , 1.0024e-09
2.0 , 1.3552e-09
2.5 , 1.6016e-09
3.0 , 1.8256e-09
3.5 , 2.0384e-09
4.0 , 2.2372e-09
