#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.7380750825334277e-10
-0.4 , 4.08158760082e-09
-0.399843813944608 , 4.10926273037e-09
-0.39940100405365203 , 4.13693785993e-09
-0.39867161270231 , 4.16461298948e-09
-0.39765568203293 , 4.19228811903e-09
-0.39635325442068003 , 4.21996324858e-09
-0.39476437212434 , 4.24763837813e-09
-0.39288907740265 , 4.27531350768e-09
0.09999999999999998 , 5.66e-09
0.6 , 6.31e-09
0.9500000000000001 , 6.68e-09
1.6 , 7.24e-09
2.1 , 7.61e-09
2.6 , 7.95e-09
3.1 , 8.26e-09
3.6 , 8.55e-09
