#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.4752049296851806e-13
-0.16 , 1.98815764389e-12
-0.15848765472416002 , 6.18822681561e-12
-0.15696401649271 , 1.03882959873e-11
-0.15542908553849 , 1.45883651591e-11
-0.15388286206522 , 1.87884343308e-11
-0.15232534645125 , 2.29885035025e-11
-0.15075653887121002 , 2.71885726742e-11
-0.1491764397034 , 3.13886418459e-11
0.33999999999999997 , 7.91e-10
0.84 , 1.26e-09
1.1900000000000002 , 1.52e-09
1.84 , 1.94e-09
2.34 , 2.21e-09
2.84 , 2.47e-09
3.34 , 2.7e-09
3.84 , 2.92e-09
