#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 2.734414882130121e-10
-0.8100603647204117 , 2.55877979369e-09
-0.8093804771802391 , 2.58865926399e-09
-0.80791109829675 , 2.61853873429e-09
-0.80565251503373 , 2.64841820459e-09
-0.80260501441313 , 2.67829767489e-09
-0.7987688828167 , 2.70817714519e-09
-0.7941444069752001 , 2.73805661549e-09
-0.7887318729213001 , 2.76793608579e-09
-0.31000000000000005 , 3.59e-09
0.18999999999999995 , 4.01e-09
0.54 , 4.25e-09
1.19 , 4.61e-09
1.69 , 4.86e-09
2.19 , 5.08e-09
2.69 , 5.28e-09
3.19 , 5.47e-09
