#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.3647474757315425e-10
-0.63 , 1.37323330738e-09
-0.629362417045631 , 1.38192950963e-09
-0.62766928024474 , 1.39062571188e-09
-0.62492173875478 , 1.39932191413e-09
-0.62112093962322 , 1.40801811638e-09
-0.6162680278093 , 1.41671431863e-09
-0.610364146184 , 1.42541052088e-09
-0.6034104355375 , 1.43410672313e-09
-0.13 , 1.64e-09
0.37 , 1.74e-09
0.7200000000000001 , 1.8e-09
1.37 , 1.9e-09
1.87 , 1.96e-09
2.37 , 2.02e-09
2.87 , 2.07e-09
3.37 , 2.12e-09
