#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 4.682060138772833e-10
-0.9900191162107512 , 2.87941864827e-09
-0.98968743941281 , 2.90157375916e-09
-0.9887066393951 , 2.92372887006e-09
-0.98707698173006 , 2.94588398095e-09
-0.98479873172822 , 2.96803909185e-09
-0.9818721544090699 , 2.99019420274e-09
-0.9782975147048 , 3.01234931363e-09
-0.9740750772273 , 3.03450442453e-09
-0.49 , 3.73e-09
0.010000000000000009 , 4.08e-09
0.3600000000000001 , 4.27e-09
1.01 , 4.57e-09
1.51 , 4.77e-09
2.01 , 4.95e-09
2.51 , 5.12e-09
3.01 , 5.27e-09
