#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.3577052659997777e-14
-0.04 , 8.71836038798e-14
-0.03294845116674 , 1.60962339943e-11
-0.0254778163863 , 3.21052843847e-11
-0.017588199341 , 4.81143347751e-11
-0.009279703727800001 , 6.41233851655e-11
-0.0005524331419000036 , 8.01324355559e-11
0.008593508807200001 , 9.61414859463e-11
0.018158018597199996 , 1.12150536337e-10
0.46 , 5.52e-10
0.96 , 8.53e-10
1.31 , 1.02e-09
1.96 , 1.29e-09
2.46 , 1.46e-09
2.96 , 1.62e-09
3.46 , 1.77e-09
3.96 , 1.91e-09
