#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 3.868138872207542e-17
-0.02 , 1.48828903762e-15
-0.01736836493685 , 7.26464125792e-13
-0.01472936904203 , 1.45143996255e-12
-0.01208301301405 , 2.1764157993e-12
-0.009429297573200001 , 2.90139163605e-12
-0.006768223418000001 , 3.62636747281e-12
-0.004099791261500001 , 4.35134330956e-12
-0.0014240018131000017 , 5.07631914632e-12
0.48 , 1.12e-10
0.98 , 1.96e-10
1.33 , 2.46e-10
1.98 , 3.28e-10
2.48 , 3.84e-10
2.98 , 4.36e-10
3.48 , 4.84e-10
3.98 , 5.3e-10
