#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.3672183580121057e-11
-0.03 , 3.60330771943e-10
-0.030076488111517398 , 3.77500374015e-10
-0.029537406765739 , 3.94669976088e-10
-0.02838308591279 , 4.1183957816e-10
-0.026613855182659997 , 4.29009180232e-10
-0.02423004378332 , 4.46178782305e-10
-0.02123198063171 , 4.63348384377e-10
-0.01761999415 , 4.8051798645e-10
0.47 , 1.05e-09
0.97 , 1.32e-09
1.32 , 1.48e-09
1.97 , 1.72e-09
2.47 , 1.88e-09
2.97 , 2.03e-09
3.47 , 2.16e-09
3.97 , 2.28e-09
