#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 1.0882552495956728e-15
-0.22020944577409 , 1.69065142915e-14
-0.21704291892704 , 7.02728196504e-12
-0.21385512585286 , 1.40376574158e-11
-0.21064606719185 , 2.10480328665e-11
-0.2074157433514 , 2.80584083173e-11
-0.2041641551466 , 3.50687837681e-11
-0.2008913031593 , 4.20791592188e-11
-0.1975971878553 , 4.90895346696e-11
0.28 , 7.87e-10
0.78 , 1.32e-09
1.1300000000000001 , 1.62e-09
1.78 , 2.11e-09
2.28 , 2.44e-09
2.78 , 2.74e-09
3.28 , 3.02e-09
3.78 , 3.27e-09
