#delta(loglike), fluxes [ph/cm^2/s]
0.0 , 1e-25
0.0 , 9.079492442268205e-11
-1.01 , 5.51370824893e-10
-1.009157125188503 , 5.56884533142e-10
-1.00759225490561 , 5.62398241391e-10
-1.00530707410304 , 5.6791194964e-10
-1.00230325913231 , 5.73425657889e-10
-0.998582477803 , 5.78939366138e-10
-0.9941463894845 , 5.84453074386e-10
-0.9889966451208 , 5.89966782635e-10
-0.51 , 7.51e-10
-0.010000000000000009 , 8.37e-10
0.3400000000000001 , 8.85e-10
0.99 , 9.61e-10
1.49 , 1.01e-09
1.99 , 1.06e-09
2.49 , 1.1e-09
2.99 , 1.14e-09
